Source,Target,Type,Id,Label,timeset,Weight
Alshamsi789,Dima_Khatib,Directed,340418,,,1
Alshamsi789,Dr_aljezza,Directed,340413,,,1
Alshamsi789,Dr_Ulrichsen,Directed,340409,,,1
Alshamsi789,DrBaderALdahoom,Directed,340404,,,1
Alshamsi789,drhussahmm,Directed,340398,,,1
Alshamsi789,drjasem,Directed,340396,,,1
Alshamsi789,EbrahimGasuda,Directed,340388,,,1
Alshamsi789,EHSANFAKEEH,Directed,340384,,,1
Alshamsi789,ELHAMBADER1,Directed,340381,,,1
Alshamsi789,emad_badish,Directed,340379,,,1
Alshamsi789,eng_alkandari,Directed,340374,,,1
Alshamsi789,FadelSoliman,Directed,340370,,,1
Alshamsi789,FahadALbathal,Directed,340367,,,1
Alshamsi789,faisalalyahya,Directed,340359,,,1
Alshamsi789,FarisAbaalkhail,Directed,340356,,,1
Alshamsi789,greatsaudipod,Directed,340339,,,1
Alshamsi789,Hala_Aldosari,Directed,340328,,,1
Alshamsi789,HamzahAlkinani,Directed,340322,,,1
Alshamsi789,hanadyhalawani,Directed,340321,,,1
Alshamsi789,hassan_aldiqqi,Directed,340317,,,1
Alshamsi789,hayaalshatti,Directed,340315,,,1
Alshamsi789,houssam_alghali,Directed,340308,,,1
Alshamsi789,Hudhaif9,Directed,340304,,,1
Alshamsi789,humaid22,Directed,340303,,,1
Alshamsi789,Ibnukenana,Directed,340299,,,1
Alshamsi789,IbrahimAlharam,Directed,340296,,,1
Alshamsi789,IlhanMN,Directed,340287,,,1
Alshamsi789,islamicommapart,Directed,340280,,,1
Alshamsi789,ismail_yasa,Directed,340279,,,1
Alshamsi789,istanbulli1453,Directed,340278,,,1
Alshamsi789,iyad_elbaghdadi,Directed,340277,,,1
Alshamsi789,jaberalharmi,Directed,340275,,,1
Alshamsi789,JAlArb,Directed,340273,,,1
Alshamsi789,jalshamsi777,Directed,340271,,,1
Alshamsi789,JnAlMarri,Directed,340266,,,1
Alshamsi789,k7ybnd99,Directed,340258,,,1
Alshamsi789,KarenAttiah,Directed,340256,,,1
Alshamsi789,KenRoth,Directed,340254,,,1
Alshamsi789,Kh_OZ,Directed,340252,,,1
Alshamsi789,khadeja_ahmad1,Directed,340251,,,1
Alshamsi789,khaledob,Directed,340248,,,1
Alshamsi789,loaila_,Directed,340238,,,1
Alshamsi789,LoveLiberty_2,Directed,340236,,,1
Alshamsi789,madwar_siba,Directed,340231,,,1
Alshamsi789,maldhabyani,Directed,340225,,,1
Alshamsi789,marcowenjones,Directed,340222,,,1
Alshamsi789,MbsMeToo,Directed,340216,,,1
Alshamsi789,MeemMagazine,Directed,340215,,,1
Alshamsi789,mehdirhasan,Directed,340214,,,1
Alshamsi789,Mehmetcanbekli1,Directed,340213,,,1
Alshamsi789,MJumeh,Directed,340203,,,1
Alshamsi789,MohamadAhwaze,Directed,340196,,,1
Alshamsi789,mohanna63,Directed,340192,,,1
Alshamsi789,moslehun,Directed,340187,,,1
Alshamsi789,mtqln,Directed,340179,,,1
Alshamsi789,MunaHawwa,Directed,340175,,,1
Alshamsi789,Mushaweh,Directed,340173,,,1
Alshamsi789,musleh_alalyani,Directed,340172,,,1
Alshamsi789,NabilAlawadhy,Directed,340165,,,1
Alshamsi789,NAlbokairi,Directed,340161,,,1
Alshamsi789,NihadAwad,Directed,340157,,,1
Alshamsi789,nsfadala,Directed,340154,,,1
Alshamsi789,oalmarzouqi,Directed,340150,,,1
Alshamsi789,ObaydahAmer,Directed,340147,,,1
Alshamsi789,ok1aj,Directed,340145,,,1
Alshamsi789,omaralshehabi,Directed,340142,,,1
Alshamsi789,omayyajoha,Directed,340140,,,1
Alshamsi789,Policy45,Directed,340134,,,1
Alshamsi789,Prof_Yousif,Directed,340133,,,1
Alshamsi789,rachidgholam,Directed,340125,,,1
Alshamsi789,ramzan_alnaimi,Directed,340121,,,1
Alshamsi789,RTErdogan,Directed,340109,,,1
Alshamsi789,saeedthabit,Directed,340102,,,1
Alshamsi789,saidelhaj,Directed,340101,,,1
Alshamsi789,salabdali1976,Directed,340099,,,1
Alshamsi789,salah_almahini,Directed,340098,,,1
